./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-04 Nahat Fa-'agabtuha.wav,-51.7948,-51.2153,3,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-05 Hati Ayyuha S-Saqi.wav,-37.2416,-45.7445,1,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-06 A-Saqiyaya 'a-Khamrun Fi Ku'usikuma.wav,-46.2225,-36.6439,3,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-07 La Tehsibu Inn El-Be'ad.wav,-62.0572,-35.3118,3,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-08 El-'albe Dab Es'efini.wav,-38.946999999999996,-41.5292,1,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-09 Sahi L-Gefun.wav,-47.691,-43.7128,3,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-10 Amr El-Gharam.wav,-49.018,-49.7728,3,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-11 Ila Muhayyaka Nuru L-Badr.wav,-45.1519,-35.8607,3,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-12 Min Habbak 'awla Be-'urbak.wav,-58.858000000000004,-37.0103,3,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 3]/3-13 A-La Fi Sabili I-Lah.wav,-36.8372,-47.0117,1,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-01 Shakawtu Fa-Qalat.wav,-62.0365,-34.6186,3,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-02 A-Lasta Wa'adtani.wav,-38.595,-43.2844,1,0,0
./Clips/Abd al-Hayy Hilmi/Abd al-Hayy Hilmi~ 1857-1912~ An Anthology [Disc 4]/4-03 Araka 'Asiyya D-Dam'i.wav,-41.2316,-46.3488,1,0,0
