Name,f1,f2,f3,color
f572fc0c-562c-5b72-a296-78bd57894f94,-29.23933,40.443335999999995,-14.960201999999999,red
09276b99-0e86-5b4e-9ff7-3a62ec786adb,-50.512935999999996,29.170221,-31.421822,darkred
a52743c4-122f-5588-b868-dc8b5f046aac,-19.209206,42.119274,-16.355764,skyblue
92952ac5-862f-5e98-8116-821424542ff4,-20.119907,10.945617,-8.493215,skyblue
499f31e7-dfc8-5b47-a063-82ba3892687b,-10.810305,27.139328000000003,-86.47312,darkred
d1fffd59-46ed-5a9b-827c-c2e9d9602ad4,-17.622791,14.221518,-103.257774,darkred
9efbb40e-60c2-551e-b0fc-7a1fc0ffaeb7,-17.555967000000003,5.6660304,-91.4404,darkred
ab9c7d88-0f27-5038-b626-b65787940f5b,-12.773314,32.3534,-86.46540999999999,darkred
c0a9ab89-f2ab-536d-96c6-fbf23cec3d4a,-15.808693,1.5331088,-81.948685,darkred
d5d36d7b-8661-58d7-bebc-3190bf95e3ef,-6.264017,-3.4058287000000003,-83.443405,darkred
9696d8df-1a7b-5a9d-8d3a-e9b69075f900,43.550740000000005,-21.153252,31.776204999999997,darkblue
77a3704e-3255-55f6-9db3-24cc6c550a97,-17.891773,32.84251,88.56528,goldenrod
8f4488ce-9350-5c77-94c0-0886e65cbb21,-12.584607,42.344933000000005,92.04474,goldenrod
ce2709b1-7b89-5251-845f-7e8ec5bca932,-28.340028999999998,41.059414000000004,81.69965,olive
2ea44fe0-a634-53ee-80be-42a4759efbc2,-4.113773999999999,48.58037,89.1124,goldenrod
0ce30d4d-8bf5-52e3-97ca-227765fef16e,-1.5754972,39.662052,69.20739,olive
4cb8648a-7682-5f8d-9be9-f57c3aebf053,-22.005838,40.607254,94.15996,goldenrod
d5741c11-85ed-5010-968b-255ec0d71cef,-27.655167,29.414087,99.349365,goldenrod
6986174f-ec62-5aac-a273-8e8529edb465,-14.68244,47.159397,71.18441999999999,goldenrod
ac541597-b3c0-5b73-ab4a-177fdd4f3d96,-18.00826,38.421825,80.77056,goldenrod
1b66a4f8-0fca-5bad-95d2-de312604d9f0,8.718823,37.927820000000004,96.30905,olive
d07ce083-3705-584d-b22a-ddeb54c833b6,-48.879253000000006,7.708958999999999,85.67676999999999,goldenrod
eec5df28-c408-5893-96e6-884dda53bc59,-36.49548,26.645777000000002,92.7803,goldenrod
77db6b94-ae70-5104-ab3b-70fcff702057,-19.423342,47.894844,90.9683,goldenrod
5381e143-05cb-5275-b9d1-2cd71b54cf58,-21.08652,5.688034,104.65414399999999,goldenrod
