uid_1,uid_2,name1,name2,sound_dist,name_dist,is_psfix,cat,res,to_keep
fdb5ba2d-b782-5c26-9274-58168aa72605,0c11fe99-5ffa-5bf0-a00b-62bf5a29f85a,T110MisraComp3Mri210bpm.L,T110MisraComp3Mri210bpm_stereo,0.29837220799952524,0.06266666666666665,0,below_st--below_nt--not_psfix,0,-1
4a401de5-2c3f-566b-a909-db6a3d905d2b,5bb220af-116c-54b2-80c5-12cc126a3391,The Golden Voice Of Juma Bhalo JB. Volume 27_Juma Bhalo_Side B__Corrected,4. Nilicho Kionda_The Golden Voice Of Juma Bhalo JB. Volume 27_Juma Bhalo_Side B__Corrected,4.940210402344425,0.22346831250940846,1,above_st--below_nt--psfix,0,-1
3637513d-6000-5822-9d7c-6196ddd96975,e6b9cf69-14bd-502e-97b4-2eaaccd806b6,12 Audio Track,12 Lyali Lobnan,0.0007651107408756409,0.41587301587301584,0,below_st--below_nt--not_psfix,0,-1
614f3d0b-e9c6-54cb-a8b3-ba546aaa73f7,edf85d01-4e10-55eb-931d-44162de201de,Zein Vol 15_Zein Musical Party_Side A,1. Hari Haioshi Ongo Mitilizi Ingashulia_Zein Vol 15_Zein Musical Party_Side A,2.479150988692441,0.462359795693129,1,above_st--below_nt--psfix,0,-1
6ba77927-7fd9-5b75-ad48-f81a2a0d3ee7,59e484d0-d52f-51f4-8a99-3601612f4cf5,Yusuf Mohamed_Tenge_Side A,Yusuf Mohamed_Tenge_Side A_Corrected,0.7355216580169494,0.05555555555555558,1,above_st--below_nt--psfix,0,-1
33759433-c959-5aca-9284-1131a97e01a6,330e0077-4c99-54b8-a725-cdd0f8022935,03 Sihar,3 Audio Track,0.0006934884616071821,0.39679487179487183,0,below_st--below_nt--not_psfix,0,-1
106c0afe-5ed1-5cb6-9eef-3bc6ca7d0c6c,fb7a0ccf-d367-59e4-8be0-f3dbd7dc0b5a,3. Track 3_Cassette 26_Side A,3. Track 3_Cassette 26_Side A__Corrected,0.8694975602237479,0.05500000000000005,1,above_st--below_nt--psfix,0,-1
c403e31a-bd03-56c6-9219-0c0d5da3af53,692b7f64-80d9-5227-a1a6-af5d19016dbf,05 Track 05,5 Audio Track,0.006641485510957941,0.34411421911421913,0,below_st--below_nt--not_psfix,0,-1
04a4ef72-e5ea-5d02-92d2-c037f771ccd6,f95350ac-3d1b-524e-9833-6ea1f33f77f0,04 B-Oulou Tays,4 Audio Track,0.0016946599397862686,0.3316239316239317,0,below_st--below_nt--not_psfix,0,-1
c0641a74-6929-5b06-b4c8-f79fd67829bd,d401e2d2-d774-5ef6-a8dd-ad31c8a1f56b,2. Track 2_Moh'd Shali Vol. 9_Side B__Corrected,Moh'd Shali Vol. 9_Side B__Corrected,3.715300875386151,0.19375492513790385,1,above_st--below_nt--psfix,0,-1
e9c10e3f-becd-56ba-af0a-4562bcf9d3e6,852026f0-db89-5978-a93d-9879d71563f1,1. Simdharau Mwenzio_Mwanahela & Party_Side B,Mwanahela & Party_Side B,4.12032495488423,0.31527777777777777,1,above_st--below_nt--psfix,0,-1
dba30689-962c-52f2-a748-ba389d70be59,18ff3107-68be-5852-bdd4-df528ae8f5ee,07 Shounoun Saghira,7 Audio Track,0.01468104716359806,0.4596105648737229,0,below_st--below_nt--not_psfix,0,-1
93cb83d7-6688-5c48-8214-d385305ec556,50e6f535-33d6-58e2-9ba0-246e89e36ec1,5 Audio Track,05 ولي يخليك,0.0018879321779066282,0.5064102564102564,0,below_st--below_nt--not_psfix,0,-1
e4ba34fa-dbe0-572c-9554-29e3234fe854,06a9d03e-51e4-568a-b6f0-d0b7b59be216,14 Audio Track,14 دواك عندي,0.0005518965261928668,0.4603174603174604,0,below_st--below_nt--not_psfix,0,-1
a0d5d6f0-1f31-5837-80fb-f109d179fb29,e738f078-e8db-5ea2-91b0-2132f29adde3,2. Track 2_New-Star 8_Side B___Corrected,New-Star 8_Side B___Corrected,3.5486252457918455,0.2410919540229885,1,above_st--below_nt--psfix,0,-1
7e9afa24-1e17-54d5-9485-140af60cf02e,4bdf1df1-d073-588d-871c-d951358ecd12,01 Aghadan Alkak,01 El Hob Kolloh,0.0,0.4583333333333334,0,below_st--below_nt--not_psfix,0,-1
1312fa91-8fdf-5af3-9d6f-264d2aa17b92,c1afbb04-c650-5ab6-8ac8-ca87cd7aaa42,1. Huna Muamana_Mukrim Songs_Side A,Mukrim Songs_Side A,4.3172729047372815,0.29273182957393484,1,above_st--below_nt--psfix,0,-1
7c1b3379-9125-5c81-a807-c8a1d0b0a03f,1ba5eee3-3574-5ddb-be7d-0315153ad556,5. Mrija_Side B,5. Mrija_Side B_Corrected,0.5628263501155938,0.07999999999999996,1,above_st--below_nt--psfix,0,-1
59dbd04d-4ef7-5b3d-9e92-a4a1bf073a52,7ad34506-85ec-5849-b16e-1a12a980bbd5,Cassette 41_Side A__Corrected,1. Track 1_Cassette 41_Side A__Corrected,2.3544267752650594,0.2410919540229885,1,above_st--below_nt--psfix,0,-1
28911f8c-3380-5273-a46f-a4a52908b73d,8cd83bbd-aed8-50d8-b7dc-02b683ae5b3a,6. Track 6_Hassan Mix_Hassan_Side B,Hassan Mix_Hassan_Side B,5.168560632928752,0.25059523809523804,1,above_st--below_nt--psfix,0,-1
fa927be2-4815-5951-8ab3-19b8bafb3180,9ed96b08-0f58-587d-ac64-f4646fc9d089,Kidampa Nuksi Volume 8_Sitara Bute & Diamond Star Musical Club_Side A__Corrected,3. Mjifunzao Kuoga_Kidampa Nuksi Volume 8_Sitara Bute & Diamond Star Musical Club_Side A__Corrected,3.1696274763907284,0.20980639730639736,1,above_st--below_nt--psfix,0,-1
aa81f183-fa54-5455-a95c-2171f898f2a5,bd608467-3a17-5391-8eb4-c707f7795b60,Kidumbaki Asilia Vol. 3_Makame Faki_Side A,1. Track 1_Kidumbaki Asilia Vol. 3_Makame Faki_Side A,3.8882431899606926,0.2199760407307577,1,above_st--below_nt--psfix,0,-1
07365127-e6e3-5d27-891c-793e4e46bead,83897139-13ce-54b1-ad29-c8c1c2b7cac2,Zein Vol. No. 5_Zein Musical Party_Side B___Corrected,5. Kusubiri Sikomi_Zein Vol. No. 5_Zein Musical Party_Side B___Corrected,2.9807977856984733,0.23261705101327745,1,above_st--below_nt--psfix,0,-1
34586055-0357-594e-b8af-98299df8ca4a,2518ab0e-094c-588b-91a8-1d6f1175cc98,07 Habbaytek Wu Bhibek,7 Audio Track,0.0005281943948569023,0.5627039627039627,0,below_st--below_nt--not_psfix,0,-1
