uid_1,uid_2,name1,name2,sound_dist,name_dist,is_psfix,cat,res
b52681f3-18b5-58e4-bdcb-417b667b3a4f,c58d9cdc-848a-57f4-9866-746f9dcdb7c0,Zuhura Swaleh_Maulidi Musical Party_Side A,Zuhura Swaleh_Maulidi Musical Party_Side A___Corrected,0.048315979745787996,0.0444444444444444,1,below_st--below_nt--psfix,1
918fe1fa-a56b-5c42-b2cd-0909197c8a8f,84ec0886-26b6-5a1b-9997-5b27ee697db6,2. Track 2_Khadija Salim_Khadija Salim_Side A,2. Track 2_Khadija Salim_Khadija Salim_Side A_Corrected,0.07434390587919991,0.036363636363636376,1,below_st--below_nt--psfix,1
29e35329-1a12-5a15-979f-97d78b51bd72,e04b0ff0-1eb2-5572-a4e5-c416f34b92ef,08 Sayeq Dalalak,8 Sayeq Dalalak,0.0018465036105223848,0.02083333333333337,1,below_st--below_nt--psfix,1
6fdbf74b-ea54-532e-aec3-a363db6d5e94,8e9fe4cb-a785-52c7-86d1-b4d6c8a327b7,3. Malaika_Zein Selected Songs #1_Zein Musical Party_Side A,3. Malaika_Zein Selected Songs #1_Zein Musical Party_Side A__Corrected,0.034305213647231825,0.03142857142857136,1,below_st--below_nt--psfix,1
341cf800-1134-55df-8cf9-83e19d94e6c9,a0c108db-79d4-574a-831a-6bb13947203d,01 Awake,1 Awake,0.0002095741351864373,0.04166666666666663,1,below_st--below_nt--psfix,1
5f066704-d2a1-56a2-af87-eb9731881fe5,3ec46f11-5196-5dc6-80b9-4524688a2523,Cassette_6_Side B,Cassette_6_Side B_Corrected,0.03764858836789725,0.07407407407407407,1,below_st--below_nt--psfix,1
812b489a-9f89-577a-ba4e-6d96af50b869,ee403d86-7328-5394-83ff-08287459a96c,5 Taqsim,05 Taqsim,0.19740804359166486,0.03703703703703709,1,below_st--below_nt--psfix,1
164c2a96-54ab-5370-a126-0121e16e1847,ffbcba79-299f-537d-8bdf-764e9df9709f,4. Tina Wangu_20 Best of E.A's 1950s_The African Sounds_Side B,4. Tina Wangu_20 Best of E.A's 1950s_The African Sounds_Side B__Corrected,0.05141920656649177,0.03013698630136985,1,below_st--below_nt--psfix,1
69faf67c-4351-596e-9bdb-79519c64f5e8,81c92da1-702c-5714-9cb9-eb745a5d8f60,2 HiDJaz,02 HiDJaz,0.029805146655727487,0.03703703703703709,1,below_st--below_nt--psfix,1
f1136981-6828-55b2-bb9b-4450f22198ca,a8428600-4dc2-5e1d-a3ab-4a23042fb399,1. Nakuhitaji_Tega Sikio_Caz T_Side A,1. Nakuhitaji_Tega Sikio_Caz T_Side A___Corrected,0.028373623124916408,0.048979591836734726,1,below_st--below_nt--psfix,1
b452803e-e05c-51bb-a8c9-079f946a2f29,6044e724-aef8-5f3e-8a45-988786cb3fbe,2. Bimdo Interlude_Sauti Ya Dhahabu_Side B,2. Bimdo Interlude_Sauti Ya Dhahabu_Side B_Corrected,0.021365988277557063,0.03846153846153855,1,below_st--below_nt--psfix,1
